Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
1/8/26 4:57:31 PM,Joe,,5 Iron,90.84198282032928,3.11,-4.56,0.76,5.319999999999999,114.15085625290102,1.2565870174660645,15.649999618530273,0.05999999865889549,4744.02001953125,-91.91812133789062,4744.91015625,Measured,1.1100000143051147,22.31999969482422,162.84996026039957,0.5600000023841858,1.59667545729109,174.2235318882259,0.5899999737739563,1.793525793629577,,,1.1586727,69.998,98.4,56
1/8/26 4:57:40 PM,Joe,,5 Iron,88.94058697208303,0.0,-6.56,7.06,13.62,101.75823568017806,1.1441147303437325,7.889999866485596,4.980000019073486,4193.123046875,-1033.0343017578125,4318.5,Measured,13.84000015258789,6.380000114440918,114.6653526619872,9.109999656677246,18.164917552877913,142.23534291184794,9.890000343322754,24.431321251736538,,,1.1586727,69.998,98.4,56
1/8/26 4:57:54 PM,Joe,,5 Iron,85.49570508231925,-1.59,0.05,2.67,2.62,102.13851075387463,1.194662476384409,17.75,2.200000047683716,2588.0888671875,633.780029296875,2664.56005859375,Measured,-13.760000228881836,16.450000762939453,144.66316576913482,-1.7899999618530273,-4.516623047288843,162.5656101230144,-2.240000009536743,-6.353893200765027,,,1.1586727,69.998,98.4,56
1/8/26 4:58:35 PM,Joe,,5 Iron,88.18002863278454,0.75,-2.28,8.49,10.77,109.38618809475417,1.2404871011131127,21.200000762939453,6.690000057220459,6166.46533203125,-736.3980102539062,6210.27978515625,Measured,6.809999942779541,28.6299991607666,148.96107470895362,10.960000038146973,28.324584009766266,156.1023682121217,11.029999732971191,29.866578593550287,,,1.1586727,69.998,98.4,56
1/8/26 4:58:53 PM,Joe,,5 Iron,93.36972083035076,2.63,-3.67,3.75,7.42,110.0796328840208,1.1789649996279985,20.479999542236328,2.619999885559082,6198.3046875,-381.2762756347656,6210.02001953125,Measured,3.5199999809265137,28.299999237060547,150.4593195877676,4.71999979019165,12.37970220343856,157.5568759013766,4.760000228881836,13.079615089837022,,,1.1586727,69.998,98.4,56
1/8/26 4:59:00 PM,Joe,,5 Iron,93.19076592698639,8.31,-14.54,19.3,33.84,103.74910761478891,1.1132981533393,28.309999465942383,14.039999961853027,4057.57568359375,-1774.3980712890625,4428.58984375,Measured,23.6200008392334,31.290000915527344,146.39107678297415,26.170000076293945,64.55599166589772,147.64872540117665,26.219999313354492,65.23403491456574,,,1.1586727,69.998,98.4,56
1/8/26 4:59:14 PM,Joe,,5 Iron,87.62079455977094,6.94,-8.36,-10.18,-1.8200000000000003,113.34555782244388,1.2935919879740951,12.880000114440918,-9.40999984741211,6742.35009765625,0.0,6742.35009765625,Measured,-0.0,19.739999771118164,152.25284472955286,-10.1899995803833,-26.93569462026094,161.11111912097414,-10.130000114440918,-28.335520393057863,,,1.1586727,69.998,98.4,56
1/8/26 4:59:24 PM,Joe,,5 Iron,91.53543307086615,1.63,-4.34,5.71,10.05,112.85343764079155,1.2328934692800453,17.329999923706055,4.139999866485596,6823.3056640625,787.0697631835938,6868.5498046875,Measured,-6.579999923706055,25.860000610351562,152.76684431474874,1.190000057220459,3.182414792028312,159.66754155730533,1.0399999618530273,2.909011467443885,,,1.1586727,69.998,98.4,56
1/8/26 4:59:33 PM,Joe,,5 Iron,93.30261274158913,8.81,-6.64,12.34,18.98,114.15085625290102,1.223447585214502,3.5399999618530273,9.3100004196167,5328.2646484375,-3076.274658203125,6152.5498046875,Estimated,30.0,3.950000047683716,113.22178344192572,18.889999389648438,36.6579182608964,143.39457033813156,21.030000686645508,51.45450485242842,,,1.1586727,69.998,98.4,56
1/8/26 4:59:57 PM,Joe,,5 Iron,91.42358625626342,1.84,-4.69,8.11,12.8,111.08625592209223,1.215072176349697,21.729999542236328,6.070000171661377,6903.9306640625,-1616.7598876953125,7090.7099609375,Measured,13.180000305175781,30.209999084472656,147.7690235314824,13.90999984741211,35.531497898585734,153.41207215583648,14.0600004196167,37.27034320981484,,,1.1586727,69.998,98.4,56
