Date,Player,Club Name,Brand/Model,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Target Total Distance,Target Carry Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Back Stroke Length,Target Backswing Time,Target Downswing Time,Forward Stroke Length,Backswing Time,Downswing Time,Target Tempo,Swing Tempo
,,,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],[Yards],[Yards],,,[g/L],[deg F],[kPa],[%],[Inches],[sec],[sec],[Inches],[sec],[sec],,
3/1/26 10:17:43 AM,Joe,,,3 Hybrid,90.48407301360058,-1.3,-0.76,7.43,8.19,123.29992602873293,1.3626699365113661,16.6200008392334,6.010000228881836,3596.438232421875,-1078.299072265625,3754.610107421875,Estimated,16.690000534057617,25.920000076293945,183.7161039951488,13.880000114440918,44.072615088648895,198.02056793987177,14.329999923706055,48.99387493116858,,,,,1.1779208,64.004,98.77,52,,,,,1240.0,137.0,,9.100000381469727
3/1/26 10:17:45 AM,Joe,,,3 Hybrid,,,,,,134.86489109593626,,2.0899999141693115,4.130000114440918,3413.239990234375,0.0,3413.239990234375,Estimated,-0.0,5.039999961853027,160.8048920452021,4.179999828338623,11.723534850206484,199.9125142735759,4.170000076293945,14.5341206931901,,,,,1.1779208,64.004,98.77,52,,,,,135.0,135.0,,1.0
3/1/26 10:18:00 AM,Joe,,,3 Hybrid,96.76986399427344,4.38,-4.38,1.79,6.17,123.47888502804996,1.276005565486349,7.659999847412109,0.9300000071525574,5487.6650390625,-2242.826904296875,5928.2998046875,Estimated,22.229999542236328,13.489999771118164,158.95669958827168,11.0600004196167,30.489937839858488,172.61591900469227,11.859999656677246,35.48775236541935,,,,,1.1779208,64.004,98.77,52,,,,,1243.0,130.0,,9.600000381469727
3/1/26 10:18:16 AM,Joe,,,3 Hybrid,114.79957050823192,,,,,120.3471708058799,1.0483242251960356,17.309999465942383,3.7799999713897705,4455.78173828125,-902.4902954101562,4546.259765625,Estimated,11.449999809265137,27.450000762939453,174.71565453503493,9.649999618530273,29.276028497116876,185.42213807060128,9.890000343322754,31.83508378209926,,,,,1.1779208,64.004,98.77,52,,,,,1096.0,291.0,,3.799999952316284
3/1/26 10:18:30 AM,Joe,,,3 Hybrid,95.271116678597,-0.56,-4.83,4.14,8.969999999999999,124.37365442493086,1.3054707319587013,16.81999969482422,2.7899999618530273,5126.12646484375,-1301.8702392578125,5288.85986328125,Measured,14.25,29.43000030517578,176.979442072457,10.529999732971191,32.338144898101724,186.2642249827414,10.819999694824219,34.95188001364026,,,,,1.1779208,64.004,98.77,52,,,,,65.0,66.0,,1.0
3/1/26 10:18:39 AM,Joe,,,3 Hybrid,93.32498210450966,-1.86,-2.14,5.03,7.17,117.99838940586972,1.2643815915627996,15.630000114440918,3.859999895095825,4171.6572265625,-817.6904296875,4251.0400390625,Estimated,11.09000015258789,23.15999984741211,176.31233729298242,9.25,28.335520393057863,183.1036665308194,9.399999618530273,29.88845136013348,,,,,1.1779208,64.004,98.77,52,,,,,1179.0,124.0,,9.5
3/1/26 10:20:02 AM,Joe,,,3 Hybrid,90.73013600572656,0.83,-5.82,-1.91,3.91,131.15157719245533,1.4455128468470224,14.489999771118164,-2.299999952316284,3563.1455078125,-348.11376953125,3580.110107421875,Measured,5.579999923706055,27.059999465942383,201.55293422108247,0.07000000029802322,0.24059492433060709,216.2073457439219,0.23999999463558197,0.9076990193686565,,,,,1.1779208,64.004,98.77,52,,,,,1187.0,148.0,,8.0
3/1/26 10:20:29 AM,Joe,,,3 Hybrid,97.3067287043665,-2.19,-4.45,-0.83,3.62,138.89137471498722,1.427356325346848,13.6899995803833,-1.2400000095367432,3548.723876953125,461.5285949707031,3578.610107421875,Measured,-7.409999847412109,29.290000915527344,216.44794200453336,-4.869999885559082,-18.383638961004355,231.05861633781373,-5.059999942779541,-20.38495121352629,,,,,1.1779208,64.004,98.77,52,,,,,1236.0,131.0,,9.399999618530273
3/1/26 10:21:09 AM,Joe,,,3 Hybrid,93.48156764495347,0.89,-5.43,6.73,12.16,127.48300303880369,1.3637234189630725,11.649999618530273,4.849999904632568,7278.1787109375,-914.2859497070312,7335.3798828125,Measured,7.159999847412109,25.239999771118164,171.75197184137994,9.489999771118164,28.324584009766266,179.14479173074557,9.600000381469727,29.877514976841884,,,,,1.1779208,64.004,98.77,52,,,,,1174.0,129.0,,9.100000381469727
3/1/26 10:21:18 AM,Joe,,,3 Hybrid,116.74570508231925,,,,,120.83929952076699,1.0350641973129655,16.969999313354492,3.0,6591.0166015625,-1831.5673828125,6840.77001953125,Measured,15.529999732971191,28.780000686645508,163.12336358498402,11.949999809265137,33.78171411816321,170.1662358962332,12.210000038146973,35.99081348142182,,,,,1.1779208,64.004,98.77,52,,,,,1108.0,237.0,,4.699999809265137
